full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
eyaltoledano/claude-task-master,26340,26340,2469,11,11,-1,https://github.com/eyaltoledano/claude-task-master
freestylefly/claude-code,97,97,222,18,18,78,https://github.com/freestylefly/claude-code
Pimzino/claude-code-spec-workflow,3597,3597,252,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
wanshuiyin/Auto-claude-code-research-in-sleep,5062,5062,419,42,42,6,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
777genius/claude-code-source-code,406,406,612,406,406,612,https://github.com/777genius/claude-code-source-code
anthropics/claude-plugins-official,15616,15616,1708,37,37,9,https://github.com/anthropics/claude-plugins-official
wshobson/agents,32687,32687,3568,21,21,4,https://github.com/wshobson/agents
snarktank/ralph,14166,14166,1443,5,5,2,https://github.com/snarktank/ralph
zhukunpenglinyutong/idea-claude-code-gui,2287,2287,264,18,18,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
ghuntley/claude-code-source-code-deobfuscation,943,943,539,19,19,11,https://github.com/ghuntley/claude-code-source-code-deobfuscation
bfly123/claude_code_bridge,2010,2010,184,1,1,0,https://github.com/bfly123/claude_code_bridge
siteboon/claudecodeui,9247,9247,1192,31,31,10,https://github.com/siteboon/claudecodeui
feiskyer/claude-code-settings,1392,1392,207,0,0,0,https://github.com/feiskyer/claude-code-settings
carlvellotti/claude-code-pm-course,1714,1714,265,3,3,1,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,989,989,227,1,1,0,https://github.com/sugyan/claude-code-webui
lowcortisolprogrammer/claude-code,148,148,137,13,13,12,https://github.com/lowcortisolprogrammer/claude-code
centminmod/my-claude-code-setup,2138,2138,213,0,0,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1508,1508,240,0,0,0,https://github.com/lst97/claude-code-sub-agents
alirezarezvani/claude-skills,8464,8464,1015,67,67,13,https://github.com/alirezarezvani/claude-skills
darcyegb/ClaudeCodeAgents,636,636,56,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
Alishahryar1/free-claude-code,1308,1308,176,17,17,6,https://github.com/Alishahryar1/free-claude-code
leaked-claude-code/leaked-claude-code,246,246,369,246,246,369,https://github.com/leaked-claude-code/leaked-claude-code
alex000kim/claude-code,91,91,157,91,91,157,https://github.com/alex000kim/claude-code
soufianebouaddis/claude-code,93,93,154,93,93,154,https://github.com/soufianebouaddis/claude-code
slopus/happy,16840,16840,1340,35,35,2,https://github.com/slopus/happy
Yeachan-Heo/oh-my-claudecode,19713,19713,1534,687,687,116,https://github.com/Yeachan-Heo/oh-my-claudecode
rohitg00/awesome-claude-code-toolkit,985,985,256,7,7,3,https://github.com/rohitg00/awesome-claude-code-toolkit
farion1231/cc-switch,36621,36621,2194,259,259,26,https://github.com/farion1231/cc-switch
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2624,2624,457,73,73,26,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
catlog22/Claude-Code-Workflow,1649,1649,138,11,11,1,https://github.com/catlog22/Claude-Code-Workflow
simonw/claude-code-transcripts,1371,1371,144,1,1,0,https://github.com/simonw/claude-code-transcripts
trailofbits/claude-code-config,1730,1730,132,2,2,0,https://github.com/trailofbits/claude-code-config
mehmoodosman/claude-code,76,76,144,76,76,144,https://github.com/mehmoodosman/claude-code
xorespesp/claude-code,100,100,134,100,100,134,https://github.com/xorespesp/claude-code
steipete/claude-code-mcp,1212,1212,150,0,0,0,https://github.com/steipete/claude-code-mcp
AprilNEA/claude-code-source,191,191,337,191,191,337,https://github.com/AprilNEA/claude-code-source
Hyper66666/claude-code-sourcemap,154,154,382,154,154,382,https://github.com/Hyper66666/claude-code-sourcemap
fazxes/Claude-code,127,127,120,127,127,120,https://github.com/fazxes/Claude-code
Njengah/claude-code-cheat-sheet,1508,1508,192,0,0,1,https://github.com/Njengah/claude-code-cheat-sheet
jeremylongshore/claude-code-plugins-plus-skills,1795,1795,240,11,11,3,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
lintsinghua/claude-code-book,607,607,200,607,607,200,https://github.com/lintsinghua/claude-code-book
