full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
Cranot/claude-code-guide,2299,2299,253,1,1,1,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,563,563,597,0,0,0,https://github.com/anthropics/claude-code-base-action
eyaltoledano/claude-task-master,25103,25103,2407,2,2,0,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,27073,27073,2974,21,21,0,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3374,3374,241,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
anthropics/claude-code-security-review,2900,2900,219,0,0,0,https://github.com/anthropics/claude-code-security-review
https-deeplearning-ai/sc-claude-code-files,379,379,516,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1050,1050,219,1,1,0,https://github.com/edmund-io/edmunds-claude-code
github/spec-kit,65707,65707,5678,78,78,5,https://github.com/github/spec-kit
ComposioHQ/awesome-claude-skills,27055,27055,2622,149,149,12,https://github.com/ComposioHQ/awesome-claude-skills
siteboon/claudecodeui,5760,5760,749,5,5,4,https://github.com/siteboon/claudecodeui
ghuntley/claude-code-source-code-deobfuscation,816,816,405,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
feiskyer/claude-code-settings,1149,1149,172,0,0,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,870,870,200,-1,-1,0,https://github.com/sugyan/claude-code-webui
lst97/claude-code-sub-agents,1366,1366,222,1,1,0,https://github.com/lst97/claude-code-sub-agents
router-for-me/CLIProxyAPI,8400,8400,1313,35,35,10,https://github.com/router-for-me/CLIProxyAPI
nishimoto265/Claude-Code-Communication,484,484,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
centminmod/my-claude-code-setup,1760,1760,172,0,0,0,https://github.com/centminmod/my-claude-code-setup
rizethereum/claude-code-requirements-builder,1736,1736,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
21st-dev/1code,4520,4520,426,16,16,1,https://github.com/21st-dev/1code
andrepimenta/claude-code-chat,983,983,147,0,0,1,https://github.com/andrepimenta/claude-code-chat
darcyegb/ClaudeCodeAgents,498,498,46,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
EveryInc/compound-engineering-plugin,6493,6493,522,17,17,2,https://github.com/EveryInc/compound-engineering-plugin
ykdojo/claude-code-tips,1663,1663,106,10,10,0,https://github.com/ykdojo/claude-code-tips
snarktank/ralph,8232,8232,958,46,46,4,https://github.com/snarktank/ralph
winfunc/opcode,20239,20239,1570,7,7,2,https://github.com/winfunc/opcode
Njengah/claude-code-cheat-sheet,1233,1233,151,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
EnzeD/vibe-coding,3810,3810,1218,4,4,1,https://github.com/EnzeD/vibe-coding
steipete/claude-code-mcp,1035,1035,120,2,2,0,https://github.com/steipete/claude-code-mcp
peterkrueck/Claude-Code-Development-Kit,1293,1293,147,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
zed-industries/claude-code-acp,812,812,124,3,3,0,https://github.com/zed-industries/claude-code-acp
revfactory/claude-code-mastering,747,747,121,1,1,1,https://github.com/revfactory/claude-code-mastering
JessyTsui/Claude-Code-Remote,979,979,107,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
catlog22/Claude-Code-Workflow,1186,1186,97,6,6,0,https://github.com/catlog22/Claude-Code-Workflow
disler/claude-code-hooks-multi-agent-observability,930,930,286,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
DmitrySolana/ralph-claude-code,1156,1156,97,0,0,0,https://github.com/DmitrySolana/ralph-claude-code
slopus/happy,9474,9474,696,71,71,3,https://github.com/slopus/happy
wasabeef/claude-code-cookbook,986,986,107,0,0,0,https://github.com/wasabeef/claude-code-cookbook
0xfurai/claude-code-subagents,662,662,126,0,0,0,https://github.com/0xfurai/claude-code-subagents
jarrodwatts/claude-code-config,884,884,103,0,0,0,https://github.com/jarrodwatts/claude-code-config
pchalasani/claude-code-tools,1268,1268,84,9,9,0,https://github.com/pchalasani/claude-code-tools
anthropics/claude-plugins-official,5086,5086,539,22,22,3,https://github.com/anthropics/claude-plugins-official
upstash/context7,43838,43838,2103,31,31,1,https://github.com/upstash/context7
kepano/obsidian-skills,8416,8416,442,38,38,4,https://github.com/kepano/obsidian-skills
simonw/claude-code-transcripts,874,874,90,3,3,1,https://github.com/simonw/claude-code-transcripts
anthropics/claude-agent-sdk-python,4381,4381,576,9,9,1,https://github.com/anthropics/claude-agent-sdk-python
anthropics/claude-agent-sdk-demos,1279,1279,204,1,1,0,https://github.com/anthropics/claude-agent-sdk-demos
obra/superpowers,38315,38315,2916,311,311,15,https://github.com/obra/superpowers
bfly123/claude_code_bridge,926,926,88,2,2,1,https://github.com/bfly123/claude_code_bridge
kn1026/cc,703,703,268,0,0,0,https://github.com/kn1026/cc
opactorai/Claudable,3709,3709,560,2,2,0,https://github.com/opactorai/Claudable
ericbuess/claude-code-docs,645,645,96,1,1,0,https://github.com/ericbuess/claude-code-docs
jeremylongshore/claude-code-plugins-plus-skills,1094,1094,140,1,1,1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
zhukunpenglinyutong/idea-claude-code-gui,934,934,107,51,51,3,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
zsio/claude-code-hub,154,154,171,0,0,-1,https://github.com/zsio/claude-code-hub
superdesigndev/superdesign,5809,5809,670,0,0,0,https://github.com/superdesigndev/superdesign
d-kimuson/claude-code-viewer,827,827,82,1,1,0,https://github.com/d-kimuson/claude-code-viewer
numman-ali/openskills,7277,7277,484,27,27,3,https://github.com/numman-ali/openskills
alirezarezvani/claude-code-tresor,459,459,108,1,1,0,https://github.com/alirezarezvani/claude-code-tresor
browser-use/browser-use,77272,77272,9160,28,28,-2,https://github.com/browser-use/browser-use
lyconear/Claude-Code,4,4,145,0,0,1,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1765,1765,56,1,1,0,https://github.com/greggh/claude-code.nvim
severity1/claude-code-prompt-improver,1091,1091,96,0,0,0,https://github.com/severity1/claude-code-prompt-improver
anomalyco/opencode,90478,90478,8307,372,372,35,https://github.com/anomalyco/opencode
BloopAI/vibe-kanban,19451,19451,1807,37,37,1,https://github.com/BloopAI/vibe-kanban
manzaltu/claude-code-ide.el,1304,1304,73,2,2,0,https://github.com/manzaltu/claude-code-ide.el
Matt-Dionis/claude-code-configs,611,611,79,0,0,0,https://github.com/Matt-Dionis/claude-code-configs
alirezarezvani/claude-skills,1426,1426,162,9,9,1,https://github.com/alirezarezvani/claude-skills
coleam00/context-engineering-intro,12288,12288,2578,0,0,0,https://github.com/coleam00/context-engineering-intro
code-yeongyu/oh-my-opencode,25150,25150,1817,135,135,11,https://github.com/code-yeongyu/oh-my-opencode
MadAppGang/claude-code,217,217,19,0,0,0,https://github.com/MadAppGang/claude-code
carlvellotti/claude-code-pm-course,400,400,102,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
farion1231/cc-switch,14331,14331,904,100,100,4,https://github.com/farion1231/cc-switch
UfoMiao/zcf,5347,5347,377,1,1,0,https://github.com/UfoMiao/zcf
gurusup/claude-code-demo,71,71,155,0,0,0,https://github.com/gurusup/claude-code-demo
hesreallyhim/a-list-of-claude-code-agents,1154,1154,111,0,0,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
timothywarner-org/claude-code,193,193,19,0,0,0,https://github.com/timothywarner-org/claude-code
daaain/claude-code-log,669,669,58,1,1,1,https://github.com/daaain/claude-code-log
stretchcloud/claude-code-unified-agents,725,725,72,0,0,0,https://github.com/stretchcloud/claude-code-unified-agents
